Vernier Format 2
ecg1.txt 10/19/2025 10:49:7
Run 1
Time	Potential	EKG	
0.480	-0.009	-0.073	
0.485	0.203	-0.069	
0.490	-0.152	-0.043	
0.495	-0.122	-0.032	
0.500	0.217	-0.029	
0.505	-0.060	-0.011	
0.510	-0.194	-0.004	
0.515	0.137	-0.015	
0.520	0.110	-0.008	
0.525	-0.171	0.005	
0.530	0.061	0.003	
0.535	0.276	0.011	
0.540	-0.121	0.036	
0.545	-0.087	0.039	
0.550	0.258	0.032	
0.555	-0.037	0.040	
0.560	-0.164	0.038	
0.565	0.174	0.021	
0.570	0.160	0.025	
0.575	-0.139	0.038	
0.580	0.084	0.036	
0.585	0.293	0.043	
0.590	-0.093	0.066	
0.595	-0.043	0.067	
0.600	0.328	0.062	
0.605	0.015	0.078	
0.610	-0.144	0.081	
0.615	0.215	0.065	
0.620	0.174	0.066	
0.625	-0.133	0.074	
0.630	0.072	0.064	
0.635	0.302	0.061	
0.640	-0.084	0.076	
0.645	-0.066	0.072	
0.650	0.328	0.062	
0.655	0.029	0.074	
0.660	-0.127	0.079	
0.665	0.246	0.067	
0.670	0.189	0.075	
0.675	-0.138	0.087	
0.680	0.096	0.077	
0.685	0.345	0.077	
0.690	-0.061	0.096	
0.695	-0.026	0.097	
0.700	0.376	0.091	
0.705	0.056	0.108	
0.710	-0.121	0.113	
0.715	0.250	0.098	
0.720	0.181	0.098	
0.725	-0.152	0.101	
0.730	0.010	0.079	
0.735	0.218	0.058	
0.740	-0.153	0.050	
0.745	-0.142	0.026	
0.750	0.178	-0.002	
0.755	-0.080	-0.009	
0.760	-0.200	-0.020	
0.765	0.124	-0.038	
0.770	0.079	-0.034	
0.775	-0.199	-0.022	
0.780	-0.016	-0.027	
0.785	0.186	-0.027	
0.790	-0.170	-0.013	
0.795	-0.138	-0.017	
0.800	0.240	-0.026	
0.805	-0.006	-0.010	
0.810	-0.083	0.007	
0.815	0.348	0.022	
0.820	0.253	0.065	
0.825	-0.155	0.107	
0.830	-0.023	0.104	
0.835	0.133	0.080	
0.840	-0.190	0.056	
0.845	-0.200	0.013	
0.850	0.081	-0.034	
0.855	-0.110	-0.058	
0.860	-0.220	-0.075	
0.865	0.061	-0.093	
0.870	-0.019	-0.090	
0.875	-0.283	-0.083	
0.880	-0.132	-0.098	
0.885	-0.002	-0.112	
0.890	-0.254	-0.117	
0.895	-0.214	-0.131	
0.900	0.087	-0.141	
0.905	-0.127	-0.128	
0.910	-0.252	-0.117	
0.915	0.013	-0.119	
0.920	0.013	-0.107	
0.925	-0.229	-0.091	
0.930	-0.072	-0.090	
0.935	0.133	-0.084	
0.940	-0.159	-0.064	
0.945	-0.142	-0.057	
0.950	0.171	-0.056	
0.955	-0.086	-0.040	
0.960	-0.214	-0.035	
0.965	0.078	-0.046	
0.970	0.047	-0.043	
0.975	-0.196	-0.035	
0.980	-0.000	-0.041	
0.985	0.220	-0.035	
0.990	-0.127	-0.011	
0.995	-0.110	-0.004	
1.000	0.240	-0.005	
1.005	-0.009	0.012	
1.010	-0.156	0.021	
1.015	0.127	0.013	
1.020	0.082	0.015	
1.025	-0.177	0.018	
1.030	-0.008	0.003	
1.035	0.183	-0.005	
1.040	-0.147	0.002	
1.045	-0.126	-0.006	
1.050	0.191	-0.019	
1.055	-0.074	-0.013	
1.060	-0.211	-0.015	
1.065	0.082	-0.033	
1.070	0.090	-0.033	
1.075	-0.190	-0.024	
1.080	-0.031	-0.030	
1.085	0.211	-0.029	
1.090	-0.135	-0.012	
1.095	-0.130	-0.010	
1.100	0.156	-0.018	
1.105	-0.095	-0.015	
1.110	-0.217	-0.022	
1.115	0.056	-0.043	
1.120	0.030	-0.049	
1.125	-0.240	-0.049	
1.130	-0.086	-0.064	
1.135	0.104	-0.074	
1.140	-0.184	-0.068	
1.145	-0.181	-0.073	
1.150	0.094	-0.083	
1.155	-0.116	-0.077	
1.160	-0.249	-0.078	
1.165	0.017	-0.092	
1.170	0.012	-0.091	
1.175	-0.223	-0.082	
1.180	-0.031	-0.084	
1.185	0.259	-0.071	
1.190	-0.058	-0.031	
1.195	-0.029	-0.001	
1.200	0.336	0.024	
1.205	-0.002	0.062	
1.210	-0.211	0.074	
1.215	0.013	0.048	
1.220	-0.003	0.017	
1.225	-0.249	-0.012	
1.230	-0.086	-0.051	
1.235	0.146	-0.074	
1.240	-0.158	-0.069	
1.245	-0.130	-0.068	
1.250	0.189	-0.065	
1.255	-0.072	-0.044	
1.260	-0.240	-0.034	
1.265	0.013	-0.048	
1.270	0.001	-0.056	
1.275	-0.257	-0.060	
1.280	-0.089	-0.079	
1.285	0.124	-0.088	
1.290	-0.167	-0.077	
1.295	-0.153	-0.074	
1.300	0.165	-0.073	
1.305	-0.064	-0.054	
1.310	-0.205	-0.042	
1.315	0.093	-0.046	
1.320	0.114	-0.036	
1.325	-0.177	-0.017	
1.330	-0.002	-0.016	
1.335	0.229	-0.010	
1.340	-0.106	0.011	
1.345	-0.103	0.015	
1.350	0.261	0.012	
1.355	0.023	0.029	
1.360	-0.156	0.039	
1.365	0.159	0.030	
1.370	0.165	0.036	
1.375	-0.148	0.047	
1.380	0.010	0.039	
1.385	0.252	0.033	
1.390	-0.107	0.043	
1.395	-0.104	0.037	
1.400	0.261	0.025	
1.405	0.006	0.033	
1.410	-0.171	0.036	
1.415	0.087	0.020	
1.420	0.104	0.013	
1.425	-0.190	0.012	
1.430	-0.016	-0.004	
1.435	0.236	-0.011	
1.440	-0.110	0.004	
1.445	-0.112	0.006	
1.450	0.235	0.002	
1.455	0.003	0.016	
1.460	-0.165	0.023	
1.465	0.143	0.014	
1.470	0.151	0.020	
1.475	-0.165	0.032	
1.480	-0.046	0.021	
1.485	0.203	0.010	
1.490	-0.130	0.013	
1.495	-0.145	0.003	
1.500	0.146	-0.016	
1.505	-0.080	-0.018	
1.510	-0.232	-0.028	
1.515	0.020	-0.052	
1.520	0.056	-0.060	
1.525	-0.226	-0.057	
1.530	-0.100	-0.068	
1.535	0.101	-0.076	
1.540	-0.171	-0.069	
1.545	-0.184	-0.073	
1.550	0.101	-0.081	
1.555	-0.081	-0.073	
1.560	-0.223	-0.069	
1.565	0.061	-0.076	
1.570	0.159	-0.062	
1.575	-0.100	-0.032	
1.580	0.181	-0.004	
1.585	0.380	0.040	
1.590	-0.089	0.094	
1.595	-0.150	0.105	
1.600	0.111	0.079	
1.605	-0.106	0.049	
1.610	-0.248	0.010	
1.615	0.003	-0.039	
1.620	0.035	-0.065	
1.625	-0.237	-0.074	
1.630	-0.087	-0.089	
1.635	0.137	-0.092	
1.640	-0.158	-0.076	
1.645	-0.145	-0.068	
1.650	0.186	-0.064	
1.655	-0.031	-0.041	
1.660	-0.184	-0.025	
1.665	0.101	-0.026	
1.670	0.104	-0.016	
1.675	-0.181	-0.003	
1.680	-0.017	-0.008	
1.685	0.250	-0.008	
1.690	-0.106	0.011	
1.695	-0.098	0.016	
1.700	0.263	0.013	
1.705	0.021	0.030	
1.710	-0.147	0.040	
1.715	0.172	0.033	
1.720	0.185	0.041	
1.725	-0.135	0.056	
1.730	0.075	0.053	
1.735	0.342	0.058	
1.740	-0.051	0.082	
1.745	-0.058	0.088	
1.750	0.340	0.082	
1.755	0.078	0.096	
1.760	-0.118	0.103	
1.765	0.226	0.091	
1.770	0.233	0.094	
1.775	-0.119	0.105	
1.780	0.059	0.093	
1.785	0.328	0.085	
1.790	-0.060	0.096	
1.795	-0.060	0.090	
1.800	0.322	0.078	
1.805	0.052	0.086	
1.810	-0.141	0.088	
1.815	0.177	0.070	
1.820	0.188	0.067	
1.825	-0.138	0.072	
1.830	0.072	0.060	
1.835	0.363	0.061	
1.840	-0.064	0.083	
1.845	-0.061	0.087	
1.850	0.354	0.081	
1.855	0.094	0.097	
1.860	-0.110	0.107	
1.865	0.264	0.098	
1.870	0.244	0.107	
1.875	-0.139	0.119	
1.880	0.021	0.103	
1.885	0.272	0.084	
1.890	-0.112	0.080	
1.895	-0.116	0.060	
1.900	0.266	0.036	
1.905	-0.003	0.036	
1.910	-0.176	0.033	
1.915	0.137	0.016	
1.920	0.143	0.015	
1.925	-0.174	0.024	
1.930	-0.011	0.014	
1.935	0.258	0.009	
1.940	-0.121	0.023	
1.945	-0.133	0.020	
1.950	0.255	0.009	
1.955	0.052	0.021	
1.960	-0.103	0.035	
1.965	0.368	0.046	
1.970	0.455	0.093	
1.975	-0.032	0.156	
1.980	0.108	0.181	
1.985	0.255	0.181	
1.990	-0.161	0.168	
1.995	-0.187	0.119	
2.000	0.119	0.054	
2.005	-0.101	0.010	
2.010	-0.255	-0.030	
2.015	0.015	-0.071	
2.020	0.053	-0.086	
2.025	-0.232	-0.083	
2.030	-0.077	-0.088	
2.035	0.174	-0.085	
2.040	-0.161	-0.062	
2.045	-0.161	-0.054	
2.050	0.172	-0.054	
2.055	-0.046	-0.038	
2.060	-0.208	-0.029	
2.065	0.101	-0.036	
2.070	0.127	-0.027	
2.075	-0.207	-0.011	
2.080	-0.040	-0.016	
2.085	0.233	-0.018	
2.090	-0.109	-0.001	
2.095	-0.110	0.003	
2.100	0.284	0.003	
2.105	0.044	0.025	
2.110	-0.145	0.042	
2.115	0.178	0.039	
2.120	0.186	0.049	
2.125	-0.133	0.064	
2.130	0.046	0.058	
2.135	0.354	0.059	
2.140	-0.071	0.080	
2.145	-0.086	0.081	
2.150	0.307	0.070	
2.155	0.052	0.078	
2.160	-0.162	0.079	
2.165	0.156	0.060	
2.170	0.185	0.055	
2.175	-0.142	0.060	
2.180	0.042	0.048	
2.185	0.318	0.046	
2.190	-0.075	0.064	
2.195	-0.087	0.065	
2.200	0.272	0.054	
2.205	0.012	0.061	
2.210	-0.145	0.059	
2.215	0.165	0.043	
2.220	0.183	0.043	
2.225	-0.142	0.054	
2.230	0.041	0.046	
2.235	0.327	0.046	
2.240	-0.068	0.067	
2.245	-0.080	0.069	
2.250	0.318	0.062	
2.255	0.073	0.076	
2.260	-0.136	0.084	
2.265	0.181	0.072	
2.270	0.174	0.071	
2.275	-0.184	0.073	
2.280	-0.049	0.050	
2.285	0.186	0.025	
2.290	-0.138	0.016	
2.295	-0.133	-0.001	
2.300	0.188	-0.019	
2.305	-0.043	-0.016	
2.310	-0.211	-0.016	
2.315	0.075	-0.031	
2.320	0.085	-0.032	
2.325	-0.200	-0.024	
2.330	-0.055	-0.033	
2.335	0.172	-0.038	
2.340	-0.142	-0.026	
2.345	-0.103	-0.026	
2.350	0.368	-0.020	
2.355	0.240	0.027	
2.360	0.018	0.085	
2.365	0.376	0.128	
2.370	0.255	0.173	
2.375	-0.162	0.196	
2.380	-0.061	0.165	
2.385	0.145	0.113	
2.390	-0.153	0.070	
2.395	-0.158	0.021	
2.400	0.174	-0.020	
2.405	-0.051	-0.030	
2.410	-0.205	-0.036	
2.415	0.085	-0.049	
2.420	0.160	-0.041	
2.425	-0.127	-0.017	
2.430	0.018	-0.005	
2.435	0.301	0.011	
2.440	-0.077	0.042	
2.445	-0.089	0.052	
2.450	0.282	0.049	
2.455	0.032	0.062	
2.460	-0.176	0.064	
2.465	0.151	0.046	
2.470	0.192	0.043	
2.475	-0.144	0.052	
2.480	0.018	0.043	
2.485	0.334	0.041	
2.490	-0.042	0.062	
2.495	-0.075	0.069	
2.500	0.304	0.065	
2.505	0.078	0.079	
2.510	-0.126	0.087	
2.515	0.192	0.076	
2.520	0.240	0.079	
2.525	-0.129	0.091	
2.530	0.041	0.081	
2.535	0.348	0.075	
2.540	-0.043	0.091	
2.545	-0.081	0.090	
2.550	0.276	0.076	
2.555	0.038	0.079	
2.560	-0.153	0.075	
2.565	0.163	0.054	
2.570	0.203	0.051	
2.575	-0.155	0.060	
2.580	-0.020	0.047	
2.585	0.249	0.034	
2.590	-0.090	0.040	
2.595	-0.115	0.033	
2.600	0.240	0.020	
2.605	0.030	0.028	
2.610	-0.150	0.034	
2.615	0.206	0.027	
2.620	0.278	0.044	
2.625	-0.113	0.074	
2.630	0.042	0.079	
2.635	0.339	0.082	
2.640	-0.046	0.099	
2.645	-0.089	0.096	
2.650	0.259	0.079	
2.655	0.033	0.077	
2.660	-0.168	0.069	
2.665	0.108	0.044	
2.670	0.142	0.032	
2.675	-0.185	0.030	
2.680	-0.057	0.010	
2.685	0.203	-0.006	
2.690	-0.127	-0.003	
2.695	-0.155	-0.010	
2.700	0.154	-0.025	
2.705	-0.046	-0.022	
2.710	-0.214	-0.024	
2.715	0.039	-0.041	
2.720	0.079	-0.044	
2.725	-0.216	-0.038	
2.730	-0.057	-0.047	
2.735	0.314	-0.044	
2.740	0.039	-0.006	
2.745	0.056	0.035	
2.750	0.470	0.077	
2.755	0.152	0.137	
2.760	-0.164	0.169	
2.765	0.067	0.149	
2.770	0.088	0.114	
2.775	-0.193	0.078	
2.780	-0.060	0.030	
2.785	0.209	-0.004	
2.790	-0.112	-0.009	
2.795	-0.130	-0.016	
2.800	0.215	-0.024	
2.805	-0.017	-0.010	
2.810	-0.190	-0.002	
2.815	0.111	-0.011	
2.820	0.160	-0.004	
2.825	-0.171	0.012	
2.830	-0.068	0.006	
2.835	0.226	-0.002	
2.840	-0.103	0.008	
2.845	-0.113	0.007	
2.850	0.241	0.001	
2.855	0.055	0.017	
2.860	-0.164	0.031	
2.865	0.142	0.026	
2.870	0.223	0.034	
2.875	-0.127	0.053	
2.880	0.023	0.053	
2.885	0.350	0.055	
2.890	-0.003	0.079	
2.895	-0.081	0.088	
2.900	0.328	0.084	
2.905	0.127	0.099	
2.910	-0.097	0.110	
2.915	0.272	0.105	
2.920	0.328	0.119	
2.925	-0.080	0.143	
2.930	0.062	0.139	
2.935	0.336	0.129	
2.940	-0.046	0.132	
2.945	-0.087	0.116	
2.950	0.285	0.090	
2.955	0.094	0.087	
2.960	-0.136	0.085	
2.965	0.149	0.067	
2.970	0.232	0.064	
2.975	-0.129	0.073	
2.980	0.013	0.064	
2.985	0.330	0.058	
2.990	-0.038	0.073	
2.995	-0.083	0.075	
3.000	0.316	0.068	
3.005	0.127	0.083	
3.010	-0.109	0.096	
3.015	0.215	0.090	
3.020	0.276	0.099	
3.025	-0.115	0.115	
3.030	0.041	0.105	
3.035	0.319	0.095	
3.040	-0.081	0.099	
3.045	-0.127	0.085	
3.050	0.198	0.056	
3.055	-0.011	0.043	
3.060	-0.203	0.028	
3.065	0.056	-0.002	
3.070	0.136	-0.014	
3.075	-0.179	-0.010	
3.080	-0.052	-0.019	
3.085	0.226	-0.023	
3.090	-0.092	-0.006	
3.095	-0.159	-0.002	
3.100	0.140	-0.012	
3.105	-0.025	-0.011	
3.110	-0.181	-0.012	
3.115	0.160	-0.021	
3.120	0.313	-0.000	
3.125	-0.025	0.045	
3.130	0.208	0.080	
3.135	0.452	0.122	
3.140	-0.025	0.170	
3.145	-0.116	0.176	
3.150	0.175	0.142	
3.155	-0.023	0.109	
3.160	-0.205	0.069	
3.165	0.058	0.020	
3.170	0.168	-0.005	
3.175	-0.148	-0.005	
3.180	0.001	-0.010	
3.185	0.340	-0.001	
3.190	-0.037	0.033	
3.195	-0.100	0.051	
3.200	0.266	0.052	
3.205	0.120	0.068	
3.210	-0.147	0.080	
3.215	0.174	0.072	
3.220	0.272	0.076	
3.225	-0.113	0.092	
3.230	0.020	0.086	
3.235	0.322	0.078	
3.240	-0.040	0.089	
3.245	-0.089	0.085	
3.250	0.269	0.070	
3.255	0.075	0.073	
3.260	-0.142	0.074	
3.265	0.162	0.059	
3.270	0.255	0.061	
3.275	-0.101	0.076	
3.280	0.046	0.075	
3.285	0.356	0.076	
3.290	-0.019	0.097	
3.295	-0.069	0.101	
3.300	0.328	0.092	
3.305	0.134	0.104	
3.310	-0.135	0.112	
3.315	0.142	0.096	
3.320	0.235	0.088	
3.325	-0.119	0.090	
3.330	0.006	0.075	
3.335	0.311	0.063	
3.340	-0.058	0.072	
3.345	-0.115	0.067	
3.350	0.282	0.051	
3.355	0.111	0.060	
3.360	-0.116	0.072	
3.365	0.203	0.068	
3.370	0.296	0.080	
3.375	-0.080	0.105	
3.380	0.085	0.108	
3.385	0.417	0.113	
3.390	0.015	0.137	
3.395	-0.043	0.143	
3.400	0.363	0.133	
3.405	0.185	0.143	
3.410	-0.081	0.152	
3.415	0.214	0.139	
3.420	0.298	0.137	
3.425	-0.095	0.143	
3.430	0.042	0.127	
3.435	0.374	0.112	
3.440	-0.025	0.120	
3.445	-0.101	0.112	
3.450	0.282	0.090	
3.455	0.072	0.087	
3.460	-0.162	0.082	
3.465	0.094	0.057	
3.470	0.185	0.044	
3.475	-0.168	0.043	
3.480	-0.064	0.025	
3.485	0.215	0.007	
3.490	-0.074	0.011	
3.495	-0.081	0.010	
3.500	0.376	0.014	
3.505	0.281	0.057	
3.510	-0.031	0.110	
3.515	0.253	0.137	
3.520	0.243	0.159	
3.525	-0.179	0.166	
3.530	-0.106	0.128	
3.535	0.145	0.075	
3.540	-0.135	0.037	
3.545	-0.184	-0.003	
3.550	0.107	-0.040	
3.555	-0.025	-0.051	
3.560	-0.214	-0.054	
3.565	0.042	-0.064	
3.570	0.154	-0.057	
3.575	-0.167	-0.034	
3.580	-0.045	-0.027	
3.585	0.264	-0.018	
3.590	-0.052	0.010	
3.595	-0.126	0.023	
3.600	0.214	0.021	
3.605	0.023	0.031	
3.610	-0.171	0.035	
3.615	0.130	0.021	
3.620	0.236	0.025	
3.625	-0.127	0.045	
3.630	-0.009	0.045	
3.635	0.299	0.044	
3.640	-0.058	0.059	
3.645	-0.110	0.060	
3.650	0.258	0.048	
3.655	0.065	0.055	
3.660	-0.164	0.059	
3.665	0.094	0.042	
3.670	0.221	0.037	
3.675	-0.144	0.046	
3.680	-0.052	0.037	
3.685	0.233	0.025	
3.690	-0.083	0.029	
3.695	-0.141	0.023	
3.700	0.181	0.007	
3.705	-0.000	0.008	
3.710	-0.207	0.006	
3.715	0.024	-0.014	
3.720	0.114	-0.023	
3.725	-0.202	-0.021	
3.730	-0.100	-0.034	
3.735	0.192	-0.044	
3.740	-0.118	-0.033	
3.745	-0.161	-0.031	
3.750	0.149	-0.038	
3.755	-0.003	-0.028	
3.760	-0.199	-0.020	
3.765	0.082	-0.028	
3.770	0.157	-0.020	
3.775	-0.159	-0.002	
3.780	-0.051	-0.003	
3.785	0.220	-0.004	
3.790	-0.115	0.008	
3.795	-0.187	0.004	
3.800	0.068	-0.018	
3.805	-0.063	-0.031	
3.810	-0.260	-0.046	
3.815	-0.046	-0.074	
3.820	0.039	-0.089	
3.825	-0.237	-0.089	
3.830	-0.153	-0.100	
3.835	0.052	-0.109	
3.840	-0.196	-0.105	
3.845	-0.246	-0.111	
3.850	0.007	-0.125	
3.855	-0.107	-0.124	
3.860	-0.306	-0.124	
3.865	-0.087	-0.139	
3.870	0.013	-0.142	
3.875	-0.200	-0.129	
3.880	-0.046	-0.119	
3.885	0.340	-0.090	
3.890	-0.038	-0.032	
3.895	-0.145	0.008	
3.900	0.090	0.016	
3.905	-0.095	0.013	
3.910	-0.300	-0.009	
3.915	-0.090	-0.054	
3.920	-0.009	-0.089	
3.925	-0.254	-0.107	
3.930	-0.159	-0.127	
3.935	0.042	-0.138	
3.940	-0.177	-0.129	
3.945	-0.232	-0.126	
3.950	0.030	-0.130	
3.955	-0.061	-0.118	
3.960	-0.242	-0.106	
3.965	-0.034	-0.107	
3.970	0.044	-0.100	
3.975	-0.226	-0.086	
3.980	-0.129	-0.088	
3.985	0.131	-0.089	
3.990	-0.144	-0.074	
3.995	-0.211	-0.069	
4.000	0.091	-0.076	
4.005	-0.037	-0.069	
4.010	-0.237	-0.062	
4.015	-0.002	-0.071	
4.020	0.134	-0.068	
4.025	-0.181	-0.049	
4.030	-0.084	-0.046	
4.035	0.218	-0.041	
4.040	-0.106	-0.020	
4.045	-0.181	-0.014	
4.050	0.116	-0.025	
4.055	-0.022	-0.024	
4.060	-0.217	-0.026	
4.065	0.020	-0.042	
4.070	0.146	-0.044	
4.075	-0.168	-0.030	
4.080	-0.078	-0.030	
4.085	0.209	-0.030	
4.090	-0.098	-0.013	
4.095	-0.164	-0.009	
4.100	0.177	-0.017	
4.105	0.021	-0.008	
4.110	-0.193	-0.001	
4.115	0.052	-0.012	
4.120	0.160	-0.012	
4.125	-0.148	0.001	
4.130	-0.037	-0.001	
4.135	0.278	0.001	
4.140	-0.069	0.022	
4.145	-0.133	0.029	
4.150	0.212	0.021	
4.155	0.042	0.029	
4.160	-0.187	0.032	
4.165	0.032	0.014	
4.170	0.116	0.003	
4.175	-0.188	-0.000	
4.180	-0.110	-0.019	
4.185	0.110	-0.038	
4.190	-0.156	-0.043	
4.195	-0.229	-0.057	
4.200	0.001	-0.082	
4.205	-0.100	-0.094	
4.210	-0.292	-0.105	
4.215	-0.098	-0.127	
4.220	-0.029	-0.139	
4.225	-0.269	-0.138	
4.230	-0.177	-0.147	
4.235	0.052	-0.150	
4.240	-0.202	-0.137	
4.245	-0.272	-0.134	
4.250	-0.014	-0.143	
4.255	-0.075	-0.138	
4.260	-0.219	-0.128	
4.265	0.145	-0.116	
4.270	0.357	-0.069	
4.275	-0.090	0.002	
4.280	-0.075	0.041	
4.285	0.142	0.049	
4.290	-0.197	0.044	
4.295	-0.277	0.009	
4.300	-0.025	-0.046	
4.305	-0.112	-0.084	
4.310	-0.292	-0.113	
4.315	-0.081	-0.142	
4.320	0.020	-0.150	
4.325	-0.245	-0.139	
4.330	-0.155	-0.137	
4.335	0.107	-0.132	
4.340	-0.153	-0.109	
4.345	-0.222	-0.097	
4.350	0.070	-0.098	
4.355	-0.023	-0.085	
4.360	-0.237	-0.073	
4.365	-0.011	-0.077	
4.370	0.084	-0.073	
4.375	-0.200	-0.059	
4.380	-0.109	-0.061	
4.385	0.172	-0.062	
4.390	-0.112	-0.046	
4.395	-0.177	-0.040	
4.400	0.148	-0.044	
4.405	0.012	-0.032	
4.410	-0.202	-0.022	
4.415	0.046	-0.028	
4.420	0.206	-0.022	
4.425	-0.148	-0.001	
4.430	-0.078	0.002	
4.435	0.266	0.001	
4.440	-0.055	0.019	
4.445	-0.144	0.025	
4.450	0.212	0.017	
4.455	0.068	0.026	
4.460	-0.176	0.034	
4.465	0.032	0.020	
4.470	0.152	0.011	
4.475	-0.165	0.013	
4.480	-0.055	0.000	
4.485	0.211	-0.009	
4.490	-0.080	0.002	
4.495	-0.155	0.002	
4.500	0.181	-0.008	
4.505	0.076	0.002	
4.510	-0.164	0.014	
4.515	0.075	0.009	
4.520	0.214	0.014	
4.525	-0.138	0.031	
4.530	-0.034	0.029	
4.535	0.221	0.024	
4.540	-0.084	0.031	
4.545	-0.158	0.025	
4.550	0.172	0.006	
4.555	0.018	0.006	
4.560	-0.217	0.004	
4.565	-0.029	-0.018	
4.570	0.082	-0.035	
4.575	-0.211	-0.040	
4.580	-0.135	-0.057	
4.585	0.133	-0.071	
4.590	-0.138	-0.065	
4.595	-0.220	-0.067	
4.600	0.107	-0.077	
4.605	-0.026	-0.070	
4.610	-0.245	-0.062	
4.615	-0.032	-0.072	
4.620	0.099	-0.073	
4.625	-0.208	-0.062	
4.630	-0.141	-0.067	
4.635	0.178	-0.071	
4.640	-0.038	-0.052	
4.645	-0.046	-0.030	
4.650	0.466	0.002	
4.655	0.288	0.071	
4.660	-0.103	0.135	
4.665	0.073	0.149	
4.670	0.125	0.136	
4.675	-0.214	0.110	
4.680	-0.136	0.056	
4.685	0.188	0.006	
4.690	-0.107	-0.014	
4.695	-0.185	-0.031	
4.700	0.149	-0.049	
4.705	0.021	-0.042	
4.710	-0.205	-0.032	
4.715	0.053	-0.036	
4.720	0.212	-0.027	
4.725	-0.139	-0.001	
4.730	-0.045	0.006	
4.735	0.301	0.012	
4.740	-0.035	0.037	
4.745	-0.104	0.048	
4.750	0.279	0.046	
4.755	0.124	0.064	
4.760	-0.138	0.078	
4.765	0.137	0.070	
4.770	0.259	0.072	
4.775	-0.126	0.084	
4.780	-0.043	0.073	
4.785	0.307	0.058	
4.790	-0.032	0.065	
4.795	-0.127	0.062	
4.800	0.252	0.047	
4.805	0.110	0.054	
4.810	-0.155	0.062	
4.815	0.124	0.051	
4.820	0.287	0.053	
4.825	-0.109	0.072	
4.830	-0.016	0.070	
4.835	0.331	0.065	
4.840	-0.035	0.079	
4.845	-0.127	0.077	
4.850	0.240	0.060	
4.855	0.099	0.061	
4.860	-0.182	0.062	
4.865	0.087	0.043	
4.870	0.255	0.037	
4.875	-0.129	0.049	
4.880	-0.029	0.044	
4.885	0.342	0.041	
4.890	-0.002	0.062	
4.895	-0.101	0.072	
4.900	0.319	0.069	
4.905	0.221	0.089	
4.910	-0.118	0.113	
4.915	0.168	0.111	
4.920	0.325	0.114	
4.925	-0.097	0.128	
4.930	-0.003	0.117	
4.935	0.348	0.102	
4.940	-0.063	0.104	
4.945	-0.167	0.089	
4.950	0.203	0.056	
4.955	0.053	0.043	
4.960	-0.193	0.034	
4.965	0.055	0.010	
4.970	0.208	0.003	
